video_id,cluster,start,end,start_time,end_time
XTngObUROMo,0,00:19,00:02,19,2
XTngObUROMo,1,01:00,01:19,60,79
XTngObUROMo,2,02:38,03:14,158,194
XTngObUROMo,3,04:30,05:35,270,335
XTngObUROMo,4,14:19,14:56,859,896
XTngObUROMo,5,15:53,16:13,953,973
XTngObUROMo,6,18:06,18:13,1086,1093
XTngObUROMo,7,18:47,18:56,1127,1136
XTngObUROMo,8,21:11,21:47,1271,1307
XTngObUROMo,9,22:34,24:25,1354,1465
XTngObUROMo,10,25:52,26:36,1552,1596
XTngObUROMo,11,27:26,27:59,1646,1679
XTngObUROMo,12,28:12,30:24,1692,1824
